Name,Company,State,Email,Speaker,Day,Capacity,Session
Frodo Baggins,Bag End Ltd,ME,frodo@bagend.com,No,,,
Samwise Gamgee,Sam's Lawn & Garden,ME,coneys@samgardens.com,No,,,
Merry Brandybuck,Rohan Stable Supplies,ME,merry@rohanstable.com,No,,,
Pippin Took,Gondor Guardians,ME,pippin@gondor.com,No,,,
Gandalf,Big Sky Pyrotechnics,FL,gandalf@bigskypyrotechnics.com,No,,,
Aragorn,Strider's Tracking Services,MT,aragorn@sts.org,No,,,
Legolas,Lorien Archery Outfitters,CA,legolas@lorienarcheryoutfitters.com,No,,,
Gimli,Mines and More,ID,gimli@minesandmore.com,No,,,
Boromir,See It Done Stewards,TX,boromir@stewards.org,No,,,
Saruman,Orthonic Stone Works,WA,white@isengard.com,Yes,1,250,Keep your Friends Close and your Enemies Closer
